MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
DOID:0080169	tricuspid atresia	DOID:0050826	tricuspid valve disease
DOID:1442	Alpers syndrome	DOID:1443	cerebral degeneration
DOID:1638	central nervous system tuberculosis	DOID:0050598	extrapulmonary tuberculosis
DOID:5162	arteriolosclerosis	DOID:2349	arteriosclerosis
DOID:5161	Monckeberg arteriosclerosis	DOID:2349	arteriosclerosis
DOID:5160	arteriosclerosis obliterans	DOID:2349	arteriosclerosis
DOID:0080161	cutaneous candidiasis	DOID:1508	candidiasis
DOID:0110721	neuronal ceroid lipofuscinosis 1	DOID:14503	neuronal ceroid lipofuscinosis
DOID:0080162	lupus nephritis	DOID:2921	glomerulonephritis
DOID:2689	lymphangiosarcoma	DOID:0060073	lymphatic system cancer
DOID:0110720	neuronal ceroid lipofuscinosis 4B	DOID:14503	neuronal ceroid lipofuscinosis
DOID:14184	polyneuropathy due to drug	DOID:2537	inflammatory and toxic neuropathy
DOID:10199	breast lipoma	DOID:0060082	breast benign neoplasm
DOID:5568	mediastinum teratoma	DOID:5559	mediastinal cancer
DOID:0050068	pestis minor	DOID:10773	bubonic plague
DOID:14183	alcoholic neuropathy	DOID:2537	inflammatory and toxic neuropathy
DOID:3530	chronic wasting disease	DOID:649	prion disease
DOID:13839	extrapyramidal and movement disease	DOID:480	movement disease
DOID:11503	diabetic autonomic neuropathy	DOID:9743|DOID:11504	diabetic neuropathy|autonomic neuropathy
DOID:11502	mitral valve insufficiency	DOID:61	mitral valve disease
DOID:0060875	isolated growth hormone deficiency type III	DOID:0060870	isolated growth hormone deficiency
DOID:0060874	isolated growth hormone deficiency type IB	DOID:0060870	isolated growth hormone deficiency
DOID:0050116	tinea imbricata	DOID:12179	tinea corporis
DOID:0060873	isolated growth hormone deficiency type IA	DOID:0060870	isolated growth hormone deficiency
DOID:0060872	isolated growth hormone deficiency type II	DOID:0060870	isolated growth hormone deficiency
DOID:0110145	Bartter disease type 4a	DOID:445	Bartter disease
DOID:0110144	Bartter disease type 3	DOID:445	Bartter disease
DOID:0110147	Bartter disease type 5	DOID:445	Bartter disease
DOID:0110146	Bartter disease type 4b	DOID:445	Bartter disease
DOID:271	hemangioma of liver	DOID:254	hemangioma of intra-abdominal structure
DOID:0110140	Bardet-Biedl syndrome 18	DOID:1935	Bardet-Biedl syndrome
DOID:0110143	Bartter disease type 2	DOID:445	Bartter disease
DOID:0110142	Bartter disease type 1	DOID:445	Bartter disease
DOID:2838	stress polycythemia	DOID:2834	acquired polycythemia
DOID:2839	erythropoietin polycythemia	DOID:2834	acquired polycythemia
DOID:0110844	xeroderma pigmentosum group C	DOID:0050427	xeroderma pigmentosum
DOID:9360	intrinsic asthma	DOID:2841	asthma
DOID:8020	glomangiomyoma	DOID:5238	benign perivascular tumor
DOID:14559	anaerobic meningitis	DOID:9470	bacterial meningitis
DOID:2833	dehydration polycythemia	DOID:2834	acquired polycythemia
