MonDO_id 	 MonDO_name 	 parent_id 	 parent_name 
DOID:6179	ovarian small cell carcinoma	DOID:4001	ovarian carcinoma
DOID:4653	intraocular retinoblastoma	DOID:768	retinoblastoma
DOID:4656	extraocular retinoblastoma	DOID:768	retinoblastoma
DOID:2641	ovarian germ cell monodermal and highly specialized teratoma	DOID:5207	monodermal teratoma
DOID:2640	struma ovarii	DOID:2641	ovarian germ cell monodermal and highly specialized teratoma
DOID:10871	age related macular degeneration	DOID:2007	degeneration of macula and posterior pole
DOID:4813	adult brain stem glioma	DOID:4202	brain stem glioma
DOID:298	lacrimal gland adenocarcinoma	DOID:293	lacrimal gland carcinoma
DOID:0060061	cutaneous T cell lymphoma	DOID:0050749	peripheral T-cell lymphoma
DOID:234	colon adenocarcinoma	DOID:1520	colon carcinoma
DOID:4928	intrahepatic cholangiocarcinoma	DOID:4947	cholangiocarcinoma
DOID:7602	intracortical osteogenic sarcoma	DOID:3378	conventional central osteosarcoma
DOID:4708	foramen magnum meningioma	DOID:4437	skull base meningioma
DOID:5344	testicular yolk sac tumor	DOID:5345	testicular non-seminomatous germ cell cancer
DOID:6517	clivus meningioma	DOID:4437	skull base meningioma
DOID:3540	choroid plexus cancer	DOID:3541	cerebral ventricle cancer
DOID:6383	childhood brain stem glioma	DOID:4206	childhood brain stem neoplasm
DOID:6536	plasma cell neoplasm	DOID:706	mature B-cell neoplasm
DOID:3772	intraventricular meningioma	DOID:3541	cerebral ventricle cancer
DOID:6161	childhood testicular mixed germ cell tumor	DOID:4743	mixed testicular germ cell tumor
DOID:3713	ovary adenocarcinoma	DOID:4001	ovarian carcinoma
DOID:2569	retinal drusen	DOID:2007	degeneration of macula and posterior pole
DOID:3502	ampulla of Vater adenocarcinoma	DOID:4932	ampulla of Vater carcinoma
DOID:3373	juxtacortical osteosarcoma	DOID:3374	peripheral osteosarcoma
DOID:9383	iridocyclitis	DOID:1407	anterior uveitis
DOID:2782	rectosigmoid junction cancer	DOID:12192	sigmoid colon cancer
DOID:6312	clivus chordoma	DOID:4151	skull base chordoma
DOID:5048	posterior pituitary gland neoplasm	DOID:3643	sella turcica neoplasm
DOID:6231	mature teratoma of the ovary	DOID:6232	ovarian biphasic or triphasic teratoma
DOID:5350	ovarian endodermal sinus tumor	DOID:5351	ovarian primitive germ cell tumor
DOID:6114	cerebral convexity meningioma	DOID:6112	cerebral meningioma
