MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
DOID:2685	ossifying fibromyxoid tumor	DOID:3350	mesenchymal cell neoplasm
DOID:9278	hyperargininemia	DOID:9267	urea cycle disorder
DOID:5088	mixed epithelial stromal tumour	DOID:154	mixed cell type cancer
DOID:2682	intracystic papillary adenoma	DOID:2615	papilloma
DOID:13120	protein-deficiency anemia	DOID:13121	deficiency anemia
DOID:0080181	PHARC syndrome	DOID:0050737	autosomal recessive disease
DOID:11257	social phobia	DOID:591	phobic disorder
DOID:14457	Brucella abortus brucellosis	DOID:11077	brucellosis
DOID:5083	iodine hypothyroidism	DOID:1459	hypothyroidism
DOID:9808	Goodpasture syndrome	DOID:417	hypersensitivity reaction type II disease
DOID:2382	kernicterus	DOID:936	brain disease
DOID:0050141	intestinal botulism	DOID:11976	botulism
DOID:11507	rumination disorder	DOID:8670	eating disorder
DOID:14026	folic acid deficiency anemia	DOID:5113	nutritional deficiency disease
DOID:13450	coccidioidomycosis	DOID:0050292	primary systemic mycosis
DOID:3534	Lafora disease	DOID:1289	neurodegenerative disease
DOID:13454	gonococcal synovitis	DOID:2703	synovitis
DOID:0050083	Keshan disease	DOID:5113	nutritional deficiency disease
DOID:3127	proctitis	DOID:1285	rectal disease
DOID:3089	granulomatous orchitis	DOID:2519	testicular disease
DOID:0060871	autosomal dominant keratitis-ichthyosis-deafness syndrome	DOID:0050736	autosomal dominant disease
DOID:8438	afferent loop syndrome	DOID:8439	postgastrectomy syndrome
DOID:3081	cystic lymphangioma	DOID:1475	lymphangioma
DOID:8431	physiological polycythemia	DOID:8432	polycythemia
DOID:0090119	ankyloblepharon-ectodermal defects-cleft lip/palate syndrome	DOID:0050736	autosomal dominant disease
DOID:0060054	autonomic peripheral neuropathy	DOID:870	neuropathy
DOID:0090111	PCWH syndrome	DOID:0050736	autosomal dominant disease
DOID:0090113	RIDDLE syndrome	DOID:0050737	autosomal recessive disease
DOID:0090112	Nasu-Hakola disease	DOID:0050737	autosomal recessive disease
DOID:1062	Fanconi syndrome	DOID:447	renal tubular transport disease
DOID:14497	Wolman disease	DOID:9455	lipid storage disease
DOID:0090117	thiamine-responsive megaloblastic anemia syndrome	DOID:0050737	autosomal recessive disease
DOID:14495	dumping syndrome	DOID:8439	postgastrectomy syndrome
DOID:4762	vasculogenic impotence	DOID:1875	impotence
DOID:0050382	glandular tularemia	DOID:2123	tularemia
DOID:1233	transvestism	DOID:1235	fetishism
DOID:12978	Plasmodium vivax malaria	DOID:12365	malaria
DOID:0060731	congenital central hypoventilation syndrome	DOID:11465	autonomic nervous system disease
DOID:474	histiocytoid hemangioma	DOID:255	hemangioma
DOID:2614	serous surface papilloma	DOID:2615	papilloma
DOID:2616	Wolffian duct adenoma	DOID:0050622	reproductive organ benign neoplasm
DOID:12387	nephrogenic diabetes insipidus	DOID:11705	impaired renal function disease
DOID:11371	functional diarrhea	DOID:5353	colonic disease
DOID:9146	visceral leishmaniasis	DOID:9065	leishmaniasis
DOID:0060849	osteoporosis-pseudoglioma syndrome	DOID:0050737	autosomal recessive disease
DOID:12926	hypodermyiasis	DOID:11080	myiasis
DOID:0050668	alcohol-related birth defect	DOID:0050696	fetal alcohol spectrum disorder
DOID:14116	multiple symmetric lipomatosis	DOID:3153	lipomatosis
DOID:0060222	Scheie syndrome	DOID:12798	mucopolysaccharidosis
DOID:8310	sclerosing adenosis of breast	DOID:5998	microglandular adenosis
DOID:12919	Plasmodium ovale malaria	DOID:12365	malaria
DOID:0050666	partial fetal alcohol syndrome	DOID:0050696	fetal alcohol spectrum disorder
DOID:9240	erythromelalgia	DOID:341	peripheral vascular disease
DOID:1283	enterocele	DOID:1284|DOID:1285	prolapse of female genital organ|rectal disease
DOID:9565	dextrocardia	DOID:1682	congenital heart disease
DOID:171	neuroectodermal tumor	DOID:3093	nervous system cancer
DOID:9563	bronchiectasis	DOID:1176	bronchial disease
DOID:0050096	tinea barbae	DOID:8913	dermatophytosis
DOID:4346	variegate porphyria	DOID:3133	acute porphyria
DOID:14725	autosomal dominant microcephaly	DOID:0050736	autosomal dominant disease
DOID:1525	nodular nonsuppurative panniculitis	DOID:1526	panniculitis
DOID:14723	beta-ketothiolase deficiency	DOID:0050737	autosomal recessive disease
