stitch id flat 	 stitch id stereo 	 drugbank ids seperated with |
CID116130199	CID016130199	DB00109
CID100054313	CID006435378	DB01088
CID105488383	CID006918250	DB06650
CID116130957	CID016130965	DB06785
CID100455658	CID000455658	DB03404
CID156603655	CID056603655	DB04895
CID100197712	CID000197712	DB06403
CID116131215	CID016131215	DB00106
CID100123610	CID000123610	DB00063
CID100005470	CID000021844	DB09070
CID100062819	CID000062819	DB00066
CID144201342	CID044201342	DB08869
CID125074470	CID025077179	DB06825
CID116129629	CID016129629	DB00080
CID103081884	CID003081884	DB05259
CID100014789	CID000014789	DB06215
CID105360237	CID005360237	DB13124
CID124848161	CID024848161	DB00781
CID144564107	CID044564107	DB05528
CID100003553	CID000018342	DB06786
CID100003462	CID006434870	DB08964
CID116132265	CID016132265	DB01285
CID100123610	CID000448812	DB00063
CID116139605	CID070683012	DB08900
CID170683024	CID070683024	DB00019
CID100004568	CID006433272	DB00646
CID100014888	CID000014888	DB01169
CID111254352	CID011254352	DB09517
CID100005595	CID000072165	DB11699
CID106440191	CID010034073	DB08874
CID116137271	CID016137271	DB01307
CID116156130	CID016157882	DB01276
CID100071348	CID006918010	DB06791
CID100219084	CID000450096	DB08884
CID100028332	CID000028332	DB09396
CID100003783	CID000003783	DB08941
CID100102258	CID000474409	DB00049
CID116129629	CID016129688	DB00080
