MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
MONDO:0012320	migraine, familial hemiplegic, 3	MONDO:0018925	familial or sporadic hemiplegic migraine
MONDO:0017275	spastic paraplegia-facial-cutaneous lesions syndrome	MONDO:0015087	autosomal dominant complex spastic paraplegia
MONDO:0002653	Paget disease of the penis	MONDO:0018351|MONDO:0008177	adenocarcinoma of penis|extramammary Paget disease
MONDO:0007309	Charcot-Marie-tooth disease type 1A	MONDO:0019011	Charcot-Marie-tooth disease type 1
MONDO:0003092	lacrimal gland mucoepidermoid carcinoma	MONDO:0002475	lacrimal gland adenocarcinoma
MONDO:0023182	franceschini vardeu guala syndrome	MONDO:0007534	Beckwith-Wiedemann syndrome
MONDO:0011207	xanthomatosis, susceptibility to	MONDO:0018328	homozygous familial hypercholesterolemia
MONDO:0013848	dilated cardiomyopathy 2B	MONDO:0015470	familial isolated dilated cardiomyopathy
MONDO:0008070	nemaline myopathy 3	MONDO:0015738|MONDO:0015736|MONDO:0015737|MONDO:0015735	childhood-onset nemaline myopathy|intermediate nemaline myopathy|Typical nemaline myopathy|severe congenital nemaline myopathy
MONDO:0011202	RHYNS syndrome	MONDO:0020240	syndromic retinitis pigmentosa
MONDO:0007716	alpha thalassemia-intellectual disability syndrome type 1	MONDO:0016513|MONDO:0015983	alpha-thalassemia-related diseases|rare genetic syndromic intellectual disability
MONDO:0007714	migraine, familial hemiplegic, 1	MONDO:0018925	familial or sporadic hemiplegic migraine
MONDO:0006498	adenomatous colon polyp	MONDO:0000527	colon adenoma
MONDO:0013840	encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome	MONDO:0018151|MONDO:0016327	coenzyme Q10 deficiency|mitochondrial disease with hypertrophic cardiomyopathy
MONDO:0016554	neonatal iodine exposure	MONDO:0016556	transient congenital hypothyroidism due to neonatal factor
MONDO:0010640	Leber optic atrophy, susceptibility to	MONDO:0010788	Leber hereditary optic neuropathy
MONDO:0013847	chromosome 16p11.2 duplication syndrome	MONDO:0015983	rare genetic syndromic intellectual disability
MONDO:0014866	Charcot-Marie-tooth disease axonal type 2T	MONDO:0018993|MONDO:0019601	Charcot-Marie-tooth disease type 2|autosomal recessive axonal hereditary motor and sensory neuropathy
MONDO:0017936	benign Samaritan congenital myopathy	MONDO:0019952	congenital myopathy
MONDO:0003419	Bartholin's gland adenoma	MONDO:0002193	Bartholin's gland benign neoplasm
MONDO:0017937	autosomal dominant intermediate Charcot-Marie-tooth disease with neuropathic pain	MONDO:0019548	autosomal dominant intermediate Charcot-Marie-tooth disease
MONDO:0011760	Scheie syndrome	MONDO:0001586	mucopolysaccharidosis type 1
MONDO:0017902	autosomal recessive mendelian susceptibility to mycobacterial diseases due to partial IFNgammaR2 deficiency	MONDO:0017898	autosomal recessive mendelian susceptibility to mycobacterial diseases due to a partial deficiency
MONDO:0003410	Wolffian duct adenocarcinoma	MONDO:0005153	cervical adenocarcinoma
MONDO:0007397	craniometaphyseal dysplasia, autosomal dominant	MONDO:0015465	craniometaphyseal dysplasia
MONDO:0008172	PHOAD	MONDO:0009799	pachydermoperiostosis
MONDO:0011688	muscular dystrophy-dystroglycanopathy type B5	MONDO:0000172	muscular dystrophy-dystroglycanopathy, type B
MONDO:0017489	ulnar hemimelia, unilateral	MONDO:0019670	ulnar hemimelia
MONDO:0008173	pachyonychia congenita 1	MONDO:0016471	pachyonychia congenita
MONDO:0011683	oculocutaneous albinism type 4	MONDO:0018910	oculocutaneous albinism
MONDO:0011680	autosomal recessive congenital ichthyosis 3	MONDO:0017778	lamellar ichthyosis
MONDO:0016366	maternal phenylketonuria	MONDO:0009861	phenylketonuria
MONDO:0009504	mitochondrial DNA depletion syndrome 9	MONDO:0016796	mitochondrial DNA depletion syndrome, encephalomyopathic form
MONDO:0011687	Charcot-Marie-tooth disease axonal type 2F	MONDO:0018993	Charcot-Marie-tooth disease type 2
