MonDO_id 	 MonDO_name 	 parent_id 	 parent_name 
MONDO:0010595	Sertoli cell-only syndrome	MONDO:0018393	male infertility with azoospermia or oligozoospermia due to single gene mutation
MONDO:0002651	anal Paget's disease	MONDO:0002652	anus adenocarcinoma
MONDO:0007650	MALT lymphoma	MONDO:0017604	marginal zone lymphoma
MONDO:0018897	primary cutaneous CD30+ T-cell lymphoproliferative disease	MONDO:0015816	indolent primary cutaneous T-cell lymphoma
MONDO:0013411	cataract 16 multiple types	MONDO:0020379	early-onset zonular cataract
MONDO:0015674	late infantile neuronal ceroid lipofuscinosis	MONDO:0016295	neuronal ceroid lipofuscinosis
MONDO:0001586	mucopolysaccharidosis type 1	MONDO:0020186	eyebrow hypertrophy
MONDO:0009319	pantothenate kinase-associated neurodegeneration	MONDO:0020240	syndromic retinitis pigmentosa
MONDO:0009257	galactose epimerase deficiency	MONDO:0018116	galactosemia
MONDO:0009317	nonphotosensitive trichothiodystrophy	MONDO:0018053	trichothiodystrophy
MONDO:0000873	lymphoblastic lymphoma	MONDO:0003538	precursor lymphoblastic lymphoma/leukemia
MONDO:0000870	childhood acute lymphoblastic leukemia	MONDO:0004967	acute lymphoblastic leukemia (disease)
MONDO:0003703	uterine corpus leiomyomatosis	MONDO:0007886	uterine corpus leiomyoma
MONDO:0015280	cardiofaciocutaneous syndrome	MONDO:0020297	Noonan syndrome and Noonan-related syndrome
MONDO:0016033	Cornelia de Lange syndrome	MONDO:0020169|MONDO:0020186	rare disorder with ptosis|eyebrow hypertrophy
MONDO:0020333	aggressive systemic mastocytosis	MONDO:0016586	systemic mastocytosis
MONDO:0012287	Stickler syndrome, type i, nonsyndromic ocular	MONDO:0007160	Stickler syndrome type 1
MONDO:0013028	adenosine monophosphate deaminase deficiency	MONDO:0009637	mitochondrial myopathy
MONDO:0020156	syndromic ankyloblepharon	MONDO:0020155	eyelid border anomaly
MONDO:0020157	syndromic palpebral coloboma	MONDO:0020155	eyelid border anomaly
MONDO:0008967	congenital bile acid synthesis defect 4	MONDO:0018841	congenital bile acid synthesis defect
