MonDO_id 	 MonDO_name 	 parent_id 	 parent_name  
MONDO:0014951	Sotos syndrome 3; SOTOS3	MONDO:0019349	Sotos syndrome
MONDO:0013849	microcephaly 8, primary, autosomal recessive	MONDO:0016660	autosomal recessive primary microcephaly
MONDO:0013842	cortisone reductase deficiency 2	MONDO:0015676	hyperandrogenism due to cortisone reductase deficiency
MONDO:0013843	intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency	MONDO:0015184	rare disease involving intestinal motility
MONDO:0013840	encephalopathy-hypertrophic cardiomyopathy-renal tubular disease syndrome	MONDO:0018151|MONDO:0016327	coenzyme Q10 deficiency|mitochondrial disease with hypertrophic cardiomyopathy
MONDO:0013847	chromosome 16p11.2 duplication syndrome	MONDO:0015983	rare genetic syndromic intellectual disability
MONDO:0013845	Auriculocondylar syndrome 2	MONDO:0000107	auriculocondylar syndrome
MONDO:0016310	Niemann-Pick disease type C, adult neurologic onset	MONDO:0018982	Niemann-Pick disease type C
MONDO:0004176	childhood extraosseous osteosarcoma	MONDO:0002621|MONDO:0002623	extraosseous osteosarcoma|pediatric osteosarcoma
MONDO:0003387	urethra clear cell adenocarcinoma	MONDO:0003200	urethra adenocarcinoma
MONDO:0004172	uterine corpus adenocarcinofibroma	MONDO:0002991|MONDO:0006003	adenocarcinofibroma|uterine corpus cancer
MONDO:0004170	nodular episcleritis	MONDO:0001269	scleral disease
MONDO:0003388	ampulla of vater clear cell adenocarcinoma	MONDO:0002670	ampulla of vater adenocarcinoma
MONDO:0003389	epithelial-myoepithelial carcinoma	MONDO:0000521	salivary gland carcinoma
MONDO:0004178	testicular yolk sac tumor, endodermal sinus pattern	MONDO:0003402	testicular yolk sac tumor
MONDO:0011330	spinocerebellar ataxia type 10	MONDO:0019794	autosomal dominant cerebellar ataxia type 4
MONDO:0011331	congenital chylothorax	MONDO:0017017	primary interstitial lung disease specific to childhood due to alveolar vascular disorder
MONDO:0011334	limb-mammary syndrome	MONDO:0015853|MONDO:0017432|MONDO:0020197|MONDO:0018455	deficient breast volume or number|syndrome with limb reduction defects|EEC syndrome and related syndrome|dysostosis of genetic origin with limb anomaly as a major feature
MONDO:0011335	spondyloepimetaphyseal dysplasia with multiple dislocations	MONDO:0019675	spondyloepimetaphyseal dysplasia with joint laxity
MONDO:0015521	juvenile or adult CACH syndrome	MONDO:0011380	leukoencephalopathy with vanishing white matter
MONDO:0014952	intellectual disability-epilepsy-extrapyramidal syndrome	MONDO:0015983	rare genetic syndromic intellectual disability
MONDO:0013848	dilated cardiomyopathy 2B	MONDO:0015470	familial isolated dilated cardiomyopathy
MONDO:0000872	b-cell childhood acute lymphoblastic leukemia	MONDO:0000870	childhood acute lymphoblastic leukemia
MONDO:0000871	T-cell childhood acute lymphocytic leukemia	MONDO:0004403|MONDO:0000870	childhood precursor T-lymphoblastic lymphoma/leukemia|childhood acute lymphoblastic leukemia
MONDO:0000875	adult acute monocytic leukemia	MONDO:0007896	acute monocytic leukemia
MONDO:0000874	T-cell childhood lymphoblastic lymphoma	MONDO:0000873|MONDO:0004403	lymphoblastic lymphoma|childhood precursor T-lymphoblastic lymphoma/leukemia
MONDO:0000878	cytomegalovirus retinitis	MONDO:0002708	retinitis
MONDO:0004713	lower gum cancer	MONDO:0005507	gingival cancer
MONDO:0004716	stomach carcinoma in situ	MONDO:0004647|MONDO:0004950	in situ carcinoma|gastric carcinoma
MONDO:0004714	atrophic muscular disease	MONDO:0019056	neuromuscular disease
MONDO:0004715	liver carcinoma in situ	MONDO:0004647|MONDO:0004018	in situ carcinoma|liver carcinoma
MONDO:0004718	xeroderma of eyelid	MONDO:0002137	noninfectious dermatoses of eyelid
MONDO:0004719	hard palate cancer	MONDO:0005515	oral cavity cancer
MONDO:0019031	thrombocytopenia with congenital dyserythropoietic anemia	MONDO:0019403|MONDO:0021181	congenital dyserythropoietic anemia|inherited blood coagulation disorder
MONDO:0019032	X-linked intellectual disability with isolated growth hormone deficiency	MONDO:0020119	X-linked syndromic intellectual disability
MONDO:0015523	epithelioid hemangioendothelioma	MONDO:0002095|MONDO:0016228|MONDO:0018729	vascular cancer|rare vascular tumor|rare genetic vascular tumor
MONDO:0020298	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	MONDO:0008300|MONDO:0020056	Prader-Willi syndrome|uniparental disomy of maternal origin
MONDO:0010001	ectodermal dysplasia-blindness syndrome	MONDO:0019287|MONDO:0020277	ectodermal dysplasia syndrome|ectodermal malformation syndrome associated with ocular features
